Model,Test Dataset,Level 1.1,Level 1.2,Level 2.1,Level 2.2,Level 3.1,Level 3.2
Naïve,Te,0.7185117732,0.7185117732,0.7185117732,0.7185117732,0.7185117732,0.7185117732
Naïve,C-Te-10,0.7082940066,0.7054965372,0.7084427121,0.7023684131,0.7073336736,0.7023684131
Naïve,C-Te-25,0.6915739567,0.6893921689,0.6851101095,0.6744967237,0.6851101095,0.6791044776
Naïve,C-Te-50,0.6708876666,0.6279460541,0.6693104225,0.6167850686,0.6605368255,0.6345844797
Naïve,C-Te-75,0.6531159553,0.5810569639,0.6400545923,0.5633730641,0.6335541549,0.556063039
Naïve,C-Te-100,0.6148255814,0.4590109081,0.6148255814,0.4590109081,0.6056406761,0.4554776897
10-pre-mixed ,Te,0.7158819566,0.7158819566,0.7158819566,0.7158819566,0.7158819566,0.7158819566
10-pre-mixed ,C-Te-10,0.7053552604,0.7011147541,0.706419295,0.7074849251,0.7088846384,0.6992902348
10-pre-mixed ,C-Te-25,0.6777946483,0.6729180328,0.6800488004,0.6669794969,0.6834818001,0.6721021277
10-pre-mixed ,C-Te-50,0.6736372691,0.6365126378,0.6552328206,0.6127243381,0.662754141,0.6113685607
10-pre-mixed ,C-Te-75,0.6388328096,0.6042841479,0.6170764963,0.5906911636,0.6271601765,0.5774371069
10-pre-mixed ,C-Te-100,0.6062271062,0.5254101239,0.6062271062,0.5254101239,0.6017922909,0.5171759846
25-pre-mixed,Te,0.6905645072,0.6905645072,0.6905645072,0.6905645072,0.6905645072,0.6905645072
25-pre-mixed,C-Te-10,0.6937035414,0.6865635951,0.6891000993,0.6855628365,0.6870163934,0.6832254853
25-pre-mixed,C-Te-25,0.6721419228,0.6598716978,0.6705655468,0.6616977226,0.6707869395,0.6664973644
25-pre-mixed,C-Te-50,0.6675062641,0.6379669101,0.6516796519,0.6128180872,0.6515273019,0.6385382256
25-pre-mixed,C-Te-75,0.6435660842,0.6186046512,0.6230363952,0.5784869353,0.6438776545,0.5807983246
25-pre-mixed,C-Te-100,0.6345039379,0.4858540893,0.6345039379,0.4858540893,0.6172959671,0.5026678748
50-pre-mixed,Te,0.6750297872,0.6750297872,0.6750297872,0.6750297872,0.6750297872,0.6750297872
50-pre-mixed,C-Te-10,0.6753514166,0.6627153813,0.6694487151,0.6655861362,0.6715049656,0.66577837
50-pre-mixed,C-Te-25,0.6679862983,0.6589642459,0.6558912075,0.6589694021,0.6538932633,0.6518465909
50-pre-mixed,C-Te-50,0.6464116817,0.6298296277,0.6341085271,0.6117848867,0.6397772631,0.6146479896
50-pre-mixed,C-Te-75,0.645720139,0.5930946292,0.6292552635,0.5791368862,0.6247253905,0.5766987424
50-pre-mixed,C-Te-100,0.6058760026,0.5257804068,0.6058760026,0.5257804068,0.5967508147,0.5159917639
75-pre-mixed,Te,0.6249319959,0.6249319959,0.6249319959,0.6249319959,0.6249319959,0.6249319959
75-pre-mixed,C-Te-10,0.6180375464,0.6174377224,0.618179091,0.6215156371,0.633830377,0.631007804
75-pre-mixed,C-Te-25,0.5966942734,0.5919887555,0.6065301571,0.6165730598,0.6101050627,0.617037443
75-pre-mixed,C-Te-50,0.5729624949,0.5639525114,0.5906636156,0.5618141404,0.5982765721,0.5874861573
75-pre-mixed,C-Te-75,0.5457641599,0.5416395785,0.5649572175,0.5628944769,0.5850243998,0.5560877914
75-pre-mixed,C-Te-100,0.580762239,0.5323998557,0.580762239,0.5323998557,0.579098421,0.493685191
100-pre-mixed,Te,0.4309255464,0.4309255464,0.4309255464,0.4309255464,0.4309255464,0.4309255464
100-pre-mixed,C-Te-10,0.4267817707,0.4267817707,0.4267817707,0.4267817707,0.4258905133,0.4267817707
100-pre-mixed,C-Te-25,0.4304650909,0.4267817707,0.4263362363,0.4272271218,0.4309255464,0.4267817707
100-pre-mixed,C-Te-50,0.423897331,0.4230380627,0.4230380627,0.4221776082,0.4272271218,0.4213159358
100-pre-mixed,C-Te-75,0.4217087513,0.4204724755,0.4251840813,0.4251840813,0.4256124409,0.4217087513
100-pre-mixed,C-Te-100,0.422941433,0.4298956872,0.422941433,0.4298956872,0.4260405291,0.4273232083
10-augmented-mixed,Te,0.7350860597,0.7350860597,0.7350860597,0.7350860597,0.7350860597,0.7350860597
10-augmented-mixed,C-Te-10,0.7293462237,0.7284586622,0.7284586622,0.7248082397,0.7293462237,0.7257361539
10-augmented-mixed,C-Te-25,0.7157549739,0.7040218938,0.7106686072,0.7079375198,0.7087151543,0.6926925138
10-augmented-mixed,C-Te-50,0.6915739567,0.6738491068,0.6883487442,0.6346405229,0.6905159159,0.6462129476
10-augmented-mixed,C-Te-75,0.6805859452,0.6215710634,0.6653835291,0.5816972656,0.6668466649,0.5787966696
10-augmented-mixed,C-Te-100,0.6532529352,0.4780430362,0.6532529352,0.4780430362,0.6387030874,0.4801996821
25-augmented-mixed,Te,0.7367829212,0.7367829212,0.7367829212,0.7367829212,0.7367829212,0.7367829212
25-augmented-mixed,C-Te-10,0.7306553191,0.731427081,0.7310437819,0.734413169,0.7380399888,0.7362744741
25-augmented-mixed,C-Te-25,0.7273346258,0.7257954076,0.7168050931,0.7164787753,0.7187019368,0.716949741
25-augmented-mixed,C-Te-50,0.7026625548,0.6818315018,0.6863736466,0.6492686299,0.6782846576,0.6615820622
25-augmented-mixed,C-Te-75,0.6846012791,0.6273348589,0.6533732339,0.595029431,0.6650447357,0.5994802643
25-augmented-mixed,C-Te-100,0.6381401707,0.4715835229,0.6381401707,0.4715835229,0.6286099865,0.4866250426
50-augmented-mixed,Te,0.6635761053,0.6635761053,0.6635761053,0.6635761053,0.6635761053,0.6635761053
50-augmented-mixed,C-Te-10,0.6595583553,0.656495512,0.6551788947,0.6549286356,0.6541758787,0.6576672972
50-augmented-mixed,C-Te-25,0.6581026009,0.6491690169,0.6491963196,0.633442623,0.6404682274,0.6448683927
50-augmented-mixed,C-Te-50,0.6375123069,0.6136181381,0.6396273486,0.620506086,0.6319390947,0.625609165
50-augmented-mixed,C-Te-75,0.6441434284,0.6111970981,0.6136181381,0.572261775,0.624327957,0.5740069967
50-augmented-mixed,C-Te-100,0.6199483614,0.4973256135,0.6199483614,0.4973256135,0.6103025677,0.4963166323
75-augmented-mixed,Te,0.7029481683,0.7029481683,0.7029481683,0.7029481683,0.7029481683,0.7029481683
75-augmented-mixed,C-Te-10,0.6976308755,0.688386804,0.7029481683,0.7053785543,0.7034178444,0.7029850977
75-augmented-mixed,C-Te-25,0.6816535606,0.6722555375,0.6678422225,0.6727793945,0.6788081269,0.6839895013
75-augmented-mixed,C-Te-50,0.6527990311,0.6609668359,0.6443697434,0.6296706791,0.6532258065,0.6437105592
75-augmented-mixed,C-Te-75,0.6379260388,0.5928120677,0.6192769431,0.6030153499,0.6290578562,0.5833714791
75-augmented-mixed,C-Te-100,0.6061425115,0.5269292172,0.6061425115,0.5269292172,0.6070859262,0.5151912899
100-augmented-mixed,Te,0.5931888955,0.5931888955,0.5931888955,0.5931888955,0.5931888955,0.5931888955
100-augmented-mixed,C-Te-10,0.5858367192,0.5897049592,0.5858367192,0.5833744879,0.589946189,0.59402511
100-augmented-mixed,C-Te-25,0.5959127673,0.5900701647,0.5832708083,0.577295069,0.5752846722,0.5819341303
100-augmented-mixed,C-Te-50,0.5893245609,0.5749126731,0.584717608,0.5523464737,0.5700212929,0.5678283735
100-augmented-mixed,C-Te-75,0.5561386669,0.5801415975,0.5546523652,0.5215170625,0.55670896,0.534127844
100-augmented-mixed,C-Te-100,0.5665322581,0.499332561,0.5665322581,0.499332561,0.5789980133,0.5033596712
