Model,Test Dataset,Level 1.1,Level 1.2,Level 2.1,Level 2.2,Level 3.1,Level 3.2
Naïve,Te,0.7781631703,0.7781631703,0.7781631703,0.7781631703,0.7781631703,0.7781631703
Naïve,C-Te-10,0.772061705,0.7727477888,0.7637038055,0.7637112365,0.7704672689,0.7614123221
Naïve,C-Te-25,0.7722064192,0.7573521432,0.7519695199,0.7467728081,0.7518062799,0.7497695796
Naïve,C-Te-50,0.7584851159,0.7347857221,0.7317889506,0.6894457157,0.7256488213,0.7014709024
Naïve,C-Te-75,0.7581465744,0.7194106786,0.7096268049,0.6402616279,0.6966022093,0.6079342141
Naïve,C-Te-100,0.7365106383,0.6774371657,0.6817876652,0.5520617314,0.6805859452,0.5080091533
10-pre-mixed ,Te,0.7870263023,0.7870263023,0.7870263023,0.7870263023,0.7870263023,0.7870263023
10-pre-mixed ,C-Te-10,0.7854494698,0.7854494698,0.7795625427,0.7833853934,0.7585999961,0.7596201322
10-pre-mixed ,C-Te-25,0.7825960136,0.7751071281,0.7596669643,0.759089181,0.7585999961,0.7596201322
10-pre-mixed ,C-Te-50,0.7802358267,0.7471256348,0.7517172723,0.7037352975,0.7596201322,0.7160604016
10-pre-mixed ,C-Te-75,0.7563228474,0.7493519044,0.7037352975,0.6743296159,0.7262665051,0.6391724093
10-pre-mixed ,C-Te-100,0.7367992655,0.7006002213,0.706599306,0.5750171585,0.7083286229,0.5421319213
25-pre-mixed,Te,0.7851964322,0.7851964322,0.7851964322,0.7851964322,0.7851964322,0.7851964322
25-pre-mixed,C-Te-10,0.7875158128,0.7851964322,0.780695621,0.7813236819,0.7891848228,0.7841636341
25-pre-mixed,C-Te-25,0.7876504502,0.7756437775,0.7579566707,0.7528403097,0.7705611248,0.7641810177
25-pre-mixed,C-Te-50,0.7625766435,0.7399193548,0.7423473273,0.7003122668,0.7641810177,0.6912990769
25-pre-mixed,C-Te-75,0.7722787612,0.7439266266,0.7181944786,0.6780843223,0.7164235891,0.6268066492
25-pre-mixed,C-Te-100,0.7463449949,0.683812766,0.708772714,0.6029930247,0.7047896851,0.606095936
50-pre-mixed,Te,0.7887276092,0.7887276092,0.7887276092,0.7887276092,0.7887276092,0.7887276092
50-pre-mixed,C-Te-10,0.7869336147,0.7827801461,0.7768150645,0.7774750461,0.7863354037,0.7780743774
50-pre-mixed,C-Te-25,0.7833470877,0.7768694018,0.7703304106,0.7390132794,0.7797372946,0.7688384323
50-pre-mixed,C-Te-50,0.7839256302,0.7383588756,0.7410331422,0.722893276,0.7380399888,0.7180327869
50-pre-mixed,C-Te-75,0.7707469801,0.7421489162,0.7448421667,0.6604761713,0.7415106632,0.6305160001
50-pre-mixed,C-Te-100,0.7260328522,0.6224997,0.7260328522,0.6224997,0.697388484,0.6123012454
75-pre-mixed,Te,0.7962014388,0.7962014388,0.7962014388,0.7962014388,0.7962014388,0.7962014388
75-pre-mixed,C-Te-10,0.7945246391,0.7882957207,0.7906370264,0.7919354839,0.7877690404,0.7838167571
